"","SampleID","sDrug","Conc","Mean"
"355","ind4b","MTX",0.05,0.634652368032576
"356","ind4b","MTX",0.1,0.606441753994286
"357","ind4b","MTX",0.5,0.419750335397791
"358","ind4b","MTX",1,0.23345511890027
"359","ind4b","MTX",5,0.00569270752671519
"360","ind4b","MTX",10,0.00288856271357475
"361","ind4b","MTX",50,0
"362","ind4b","TRZ",0.01,1.00857487034245
"363","ind4b","TRZ",0.05,0.850088933832325
"364","ind4b","TRZ",0.1,0.966765919361897
"365","ind4b","TRZ",0.5,0.762691130795949
"366","ind4b","TRZ",1,0.777003910570877
"367","ind4b","TRZ",5,0.905947518197305
"368","ind4b","TRZ",10,0.730432539045479
"369","ind4b","VEH",0.01,0.987399768271601
"370","ind4b","VEH",0.05,1.00403588051266
"371","ind4b","VEH",0.1,0.868435675893643
"372","ind4b","VEH",0.5,0.962573282120081
"373","ind4b","VEH",1,0.920627952974461
"374","ind4b","VEH",5,0.966503165169582
"375","ind4b","VEH",10,0.930896956631426
"376","ind4b","VEH",50,1.12315491736599
"377","ind5a","DOX",0.01,1.03749032847999
"378","ind5a","DOX",0.05,0.9926203245717
"379","ind5a","DOX",0.1,0.743078651447225
"380","ind5a","DOX",0.5,0.816757899738005
"381","ind5a","DOX",1,0.509172562076829
"382","ind5a","DOX",5,0.453715244702273
"383","ind5a","DOX",10,0.436832625369617
"384","ind5a","DOX",50,0.0294382607028929
"385","ind5a","EPI",0.01,1.08917597346942
"386","ind5a","EPI",0.05,1.06597655678019
"387","ind5a","EPI",0.1,0.74891948321728
"388","ind5a","EPI",0.5,0.796815799635903
"389","ind5a","EPI",1,0.384958929503638
"390","ind5a","EPI",5,0.423794038205829
"391","ind5a","EPI",10,0.562769614097234
"392","ind5a","EPI",50,0
"393","ind5a","DNR",0.01,1.1083470753584
"394","ind5a","DNR",0.05,0.956173517551267
"395","ind5a","DNR",0.1,0.734093245577777
"396","ind5a","DNR",0.5,0.783771170077785
"397","ind5a","DNR",1,0.384550887996335
"398","ind5a","DNR",5,0.361091860997583
"399","ind5a","DNR",10,0.00148822478723564
"400","ind5a","DNR",50,0
"401","ind5a","MTX",0.01,1.04681797222418
"402","ind5a","MTX",0.05,1.04837056468725
"403","ind5a","MTX",0.1,0.741673290727375
"404","ind5a","MTX",0.5,0.814706239311524
"405","ind5a","MTX",1,0.448042359609218
"406","ind5a","MTX",5,0.0282637921281592
"407","ind5a","MTX",10,0
"408","ind5a","MTX",50,0
"409","ind5a","TRZ",0.01,0.962000369927499
"410","ind5a","TRZ",0.05,0.904953949931874
"411","ind5a","TRZ",0.1,0.806935656523905
"412","ind5a","TRZ",0.5,0.915999338004083
"413","ind5a","TRZ",1,0.81298062069186
"414","ind5a","TRZ",5,0.88468093651054
"415","ind5a","TRZ",10,0.929317202767813
"416","ind5a","VEH",0.01,1.02318950447951
"417","ind5a","VEH",0.05,0.904414155277207
"418","ind5a","VEH",0.1,0.870531938571111
"419","ind5a","VEH",0.5,0.884352623158824
"420","ind5a","VEH",1,0.886869160372032
"421","ind5a","VEH",5,1.04382332558703
"422","ind5a","VEH",10,1.21137895321436
"423","ind5a","VEH",50,0.908046165852055
"424","ind5b","DOX",0.01,1.32382367704204
"425","ind5b","DOX",0.05,1.26984388557438
"426","ind5b","DOX",0.1,0.914848073064652
"427","ind5b","DOX",0.5,0.833176699958555
"428","ind5b","DOX",1,0.687018607432316
"429","ind5b","DOX",5,0.537669212900595
"430","ind5b","DOX",10,0.511627060134441
"431","ind5b","DOX",50,0.00778491135179962
"432","ind5b","EPI",0.01,1.04083502997558
"433","ind5b","EPI",0.05,1.1633921424872
"434","ind5b","EPI",0.1,0.814164795890113
"435","ind5b","EPI",0.5,0.707082941749896
"436","ind5b","EPI",1,0.504668138842349
"437","ind5b","EPI",5,0.500760957422793
"438","ind5b","EPI",10,0.320230283521109
"439","ind5b","EPI",50,0.0035085640859735
"440","ind5b","DNR",0.01,0.939153991198138
"441","ind5b","DNR",0.05,1.24041688806979
"442","ind5b","DNR",0.1,0.657745156925139
"443","ind5b","DNR",0.5,0.681942798658985
"444","ind5b","DNR",1,0.342381490844291
"445","ind5b","DNR",5,0.0208334850393586
"446","ind5b","DNR",10,0.00325543118076746
"447","ind5b","DNR",50,0
"448","ind5b","MTX",0.01,1.00023123212886
"449","ind5b","MTX",0.05,1.09243103993328
"450","ind5b","MTX",0.1,0.937263313042329
"451","ind5b","MTX",0.5,0.928414656214063
"452","ind5b","MTX",1,0.418095920336745
"453","ind5b","MTX",5,0.0130327612195708
"454","ind5b","MTX",10,8.55734147069615e-05
"455","ind5b","MTX",50,0.0123995844402018
"456","ind5b","TRZ",0.01,0.992157846946889
"457","ind5b","TRZ",0.05,1.06956205901542
"458","ind5b","TRZ",0.1,0.634099535252246
"459","ind5b","TRZ",0.5,1.09457153475413
"460","ind5b","TRZ",1,1.01012367459786
"461","ind5b","TRZ",5,1.1357295603438
"462","ind5b","TRZ",10,1.13440731003309
"463","ind5b","VEH",0.01,1.04459678192554
"464","ind5b","VEH",0.05,0.972160378817943
"465","ind5b","VEH",0.1,1.05277932788359
"466","ind5b","VEH",0.5,1.14305588795557
"467","ind5b","VEH",1,1.19135521073228
"468","ind5b","VEH",5,1.04625456028312
"469","ind5b","VEH",10,1.14070818373158
"470","ind5b","VEH",50,0.936907360238399
"471","ind6a","DOX",0.01,0.62953866106445
"472","ind6a","DOX",0.05,1.0182265730224
"473","ind6a","DOX",0.1,0.961545845047013
"474","ind6a","DOX",0.5,0.777209464346494
"475","ind6a","DOX",1,0.627051480672525
"476","ind6a","DOX",5,0.321560823453152
"477","ind6a","DOX",10,0.315341727869927
"478","ind6a","DOX",50,0.0246234246216591
"479","ind6a","EPI",0.01,0.791999409280077
"480","ind6a","EPI",0.05,0.973613526470331
"481","ind6a","EPI",0.1,0.900200088126387
"482","ind6a","EPI",0.5,0.723485896017699
"483","ind6a","EPI",1,0.537177452125769
"484","ind6a","EPI",5,0.307934678171964
"485","ind6a","EPI",10,0.235731730950795
"486","ind6a","EPI",50,0.0136211559002939
"487","ind6a","DNR",0.01,0.885132179134708
"488","ind6a","DNR",0.05,0.94213050164359
"489","ind6a","DNR",0.1,0.764149180965731
"490","ind6a","DNR",0.5,0.734169361243476
"491","ind6a","DNR",1,0.549111723472342
"492","ind6a","DNR",5,0.105615268270482
"493","ind6a","DNR",10,0.0193926963556315
"494","ind6a","DNR",50,0.00664432275283295
"495","ind6a","MTX",0.01,0.90116434005925
"496","ind6a","MTX",0.05,0.988627098352281
"497","ind6a","MTX",0.1,1.10114242203263
"498","ind6a","MTX",0.5,0.977567648059904
"499","ind6a","MTX",1,0.697175801290191
"500","ind6a","MTX",5,0.0123636351098504
"501","ind6a","MTX",10,0.0124073255085916
"502","ind6a","MTX",50,0.0153300533487916
"503","ind6a","TRZ",0.01,0.853123191012766
"504","ind6a","TRZ",0.05,0.958027793975737
"505","ind6a","TRZ",0.1,0.89758142027783
"506","ind6a","TRZ",0.5,0.937867623595983
"507","ind6a","TRZ",1,0.93930829989333
"508","ind6a","TRZ",5,0.898279147492448
"509","ind6a","TRZ",10,0.672131687222349
"510","ind6a","VEH",0.01,1.00155341573802
"511","ind6a","VEH",0.05,1.13898923022143
"512","ind6a","VEH",0.1,0.819418211240495
"513","ind6a","VEH",0.5,1.00740764869809
"514","ind6a","VEH",1,1.10310611063138
"515","ind6a","VEH",5,0.969530808236369
"516","ind6a","VEH",10,1.08482386877491
"517","ind6a","VEH",50,1.19428464655322
"518","ind6b","DOX",0.01,0.798897743514228
"519","ind6b","DOX",0.05,1.01688649080736
"520","ind6b","DOX",0.1,1.09444428845195
"521","ind6b","DOX",0.5,0.703918341757768
"522","ind6b","DOX",1,0.523675472477182
"523","ind6b","DOX",5,0.20492118219901
"524","ind6b","DOX",10,0.219605824484907
"525","ind6b","DOX",50,0.0226428647223514
