"sigVMT24.ENTREZID","sigVMT24.SYMBOL","sigVMT24.logFC","sigVMT24.AveExpr","sigVMT24.t","sigVMT24.P.Value","sigVMT24.adj.P.Val","sigVMT24.B"
"9100","USP10",0.312089078754971,5.99230409644844,3.62178787269201,0.000582038213684943,0.012216730553709,-1.17148594074409
"150962","PUS10",-0.495331383318302,3.31834159976962,-3.61667357044685,0.000591637751062192,0.0123997411993451,-0.928891892831111
"51741","WWOX",0.889953536469486,2.61567376690574,3.61259198874676,0.000599406913956971,0.0125439033821248,-0.790138736642427
"6432","SRSF7",0.659547741937827,6.2941773759374,3.61185882342297,0.000600812728912494,0.0125546683590557,-1.19938870132227
"148213","ZNF681",0.816909462356138,1.19853835172951,3.60929511323312,0.000605753274346987,0.0126287203700027,-0.631640997712681
"10346","TRIM22",-2.45421584109269,2.68308916408186,-3.60909017194768,0.000606149884274484,0.0126287203700027,-0.824886222979994
"80856","LNPK",0.685663398254432,6.2263392937304,3.6033149481091,0.000617428545806827,0.0128447025688971,-1.22601131375234
"57568","SIPA1L2",0.745327112740663,8.5688410782128,3.60145102779081,0.000621111134668601,0.0128938317019869,-1.12162442442865
"84695","LOXL3",1.22733756197522,1.37648288245193,3.60119373644176,0.000621621110881077,0.0128938317019869,-0.679392762264492
"6273","S100A2",-1.21044965446017,0.126714716302797,-3.60045871230671,0.000623080197090364,0.0129050904350304,-0.597211293013182
"80221","ACSF2",0.768519107437123,5.81427972658239,3.59799619751527,0.000627992303851646,0.0129877292326675,-1.22670390605828
"27338","UBE2S",0.751927279951866,5.57051079713204,3.59703998180868,0.000629909638557045,0.0130082805710226,-1.22502543972988
"6303","SAT1",-0.934961454519854,7.40204183075385,-3.59433232855555,0.000635369113284695,0.0131018134575427,-1.22321387061984
"126133","ALDH16A1",0.485855961240096,4.79574659687935,3.59282764723683,0.000638422464540225,0.0131455292260008,-1.17718044889924
"1460","CSNK2B",-0.438577554260683,6.47645518764077,-3.59136351153799,0.000641406945784418,0.0131877013495296,-1.25831830997167
"753","LDLRAD4",0.896354476204047,3.40494373922823,3.59053401844429,0.000643103666336426,0.0132033120068254,-1.07519052150026
"8883","NAE1",0.382100658121258,5.38545507895078,3.58931441710688,0.00064560611125585,0.0132353951541883,-1.24850521775778
"84168","ANTXR1",0.640086670972361,7.74776952049122,3.58621158893505,0.000652014522087788,0.01333556114964,-1.22150880438912
"29095","ORMDL2",-0.60450493468039,5.17755786345469,-3.58603271336375,0.000652385801768103,0.01333556114964,-1.21529317274296
"84790","TUBA1C",0.83736360400647,7.48603396662394,3.58476183703501,0.000655029471901403,0.0133701957713904,-1.24187618144465
"388407","LINC02875",-1.4582312239575,1.03562571071792,-3.58387025885793,0.000656890210645927,0.0133742020984542,-0.687823538093994
"3015","H2AZ1",1.05595804081551,6.3789161455461,3.58375795172154,0.000657124953999595,0.0133742020984542,-1.2799453215438
"2181","ACSL3",0.479842353962295,7.16228613960522,3.58016255376661,0.00066468235363454,0.0135011421467548,-1.28433429486262
"389941","C1QL3",-1.62031054060402,1.40867077367755,-3.57988025347516,0.00066527922819141,0.0135011421467548,-0.747457060120132
"23306","NEMP1",1.10521451832215,3.77639839212143,3.5762596181025,0.000672979792160646,0.0136377660327921,-1.03975227592726
"57622","LRFN1",0.663002005937597,3.43266356651724,3.57455775290985,0.000676628645057085,0.0136920083864712,-1.14544941056414
"4077","NBR1",-0.335048549097635,7.11706298614092,-3.57063953455639,0.000685101120919127,0.0138435641133788,-1.28794667593749
"79915","ATAD5",1.17533026553104,1.36725286118488,3.56995582012405,0.000686589841014887,0.01385376980065,-0.787730380782141
"3053","SERPIND1",-1.87686908100808,1.96990151674536,-3.567580480247,0.000691785862190739,0.0139229398813252,-0.846988735973341
"55790","CSGALNACT1",-1.33365068768565,2.19701839156,-3.56748521857269,0.000691995023922722,0.0139229398813252,-0.877199309858367
"55696","RBM22",-0.44019901687156,5.43745426801318,-3.56689635810152,0.00069328929403111,0.0139290819074667,-1.2998636876371
"8565","YARS1",0.540620860084889,7.31925107284516,3.56336150348239,0.000701107164600561,0.0140660873308181,-1.31552430299729
"55717","WDR11",-0.456990155983767,5.86675624015503,-3.56211366039684,0.000703886930960907,0.0141017688985113,-1.34523380050246
"388021","TMEM179",1.05851505729921,1.9803227898064,3.56033085785921,0.000707876595922786,0.0141615539445689,-0.925294149376369
"9118","INA",-1.28383351374909,4.23516900998337,-3.55875708184203,0.000711416352454251,0.0142121814297385,-1.18203383367481
"10541","ANP32B",0.549158616394549,6.25428355744316,3.55572021609254,0.000718294545248623,0.014329263987651,-1.36975576510478
"7443","VRK1",1.10921276000399,3.48755245807379,3.55339172882336,0.000723611115077023,0.0144149065696532,-1.1013546548453
"230","ALDOC",1.68209630155552,4.17600163110044,3.55026439895327,0.00073081055752578,0.0145377625595948,-1.16113648797991
"4613","MYCN",1.08390353350093,5.23580666114129,3.54853590684684,0.000734818897749389,0.0145968820252502,-1.34513580755485
"23632","CA14",1.8553113694637,1.90481104971655,3.54589792502293,0.000740976641722977,0.014698471862009,-0.883174405947377
"7866","IFRD2",0.383182270659109,4.78556553638841,3.54458128188876,0.000744068354419812,0.0147390417772836,-1.31932436676382
"55650","PIGV",-0.496464543213952,3.01669201794402,-3.54295707154449,0.000747899185088946,0.0147806635922718,-1.10736307814205
"84280","BTBD10",-0.659393257852413,6.2462711604901,-3.54280091855068,0.000748268470696522,0.0147806635922718,-1.40058597197427
"5909","RAP1GAP",0.654720737246472,4.05686657441714,3.54064180198869,0.000753392356141668,0.0148610335348729,-1.2216138963221
"102724560","LOC102724560",0.699764859189404,4.7255989959442,3.53994361367665,0.000755056377849351,0.0148730266092731,-1.30213056694398
