"","x"
"1205","83605"
"1206","84108"
"1207","100505881"
"1208","9317"
"1209","5902"
"1210","54903"
"1211","79774"
"1212","9382"
"1213","113829"
"1214","5499"
"1215","170691"
"1216","4215"
"1217","55667"
"1218","57161"
"1219","80820"
"1220","1040"
"1221","22870"
"1222","30851"
"1223","64410"
"1224","3416"
"1225","4846"
"1226","93611"
"1227","9652"
"1228","121536"
"1229","57018"
"1230","84464"
"1231","54850"
"1232","29767"
"1233","8525"
"1234","8227"
"1235","54922"
"1236","340481"
"1237","51422"
"1238","79583"
"1239","2308"
"1240","7004"
"1241","51313"
"1242","64582"
"1243","57621"
"1244","9874"
"1245","8559"
"1246","56895"
"1247","7705"
"1248","148327"
"1249","4000"
"1250","5532"
"1251","92070"
"1252","26505"
"1253","678"
"1254","10519"
"1255","23636"
"1256","4340"
"1257","339500"
"1258","442721"
"1259","57520"
"1260","5376"
"1261","728233"
"1262","84256"
"1263","54914"
"1264","64208"
"1265","1060"
"1266","6428"
"1267","9425"
"1268","8651"
"1269","84864"
"1270","5318"
"1271","8846"
"1272","55028"
"1273","2157"
"1274","4033"
"1275","5046"
"1276","9567"
"1277","10527"
"1278","51304"
"1279","4034"
"1280","79071"
"1281","8310"
"1282","64857"
"1283","124935"
"1284","23461"
"1285","9219"
"1286","79618"
"1287","114788"
"1288","5166"
"1289","4338"
"1290","84319"
"1291","8660"
"1292","5516"
"1293","7481"
"1294","55607"
"1295","55750"
"1296","64081"
"1297","1238"
"1298","26277"
"1299","100131017"
"1300","130872"
"1301","25998"
"1302","2118"
"1303","4799"
"1304","57162"
"1305","22900"
"1306","79973"
"1307","102724428"
"1308","63875"
"1309","466"
"1310","5899"
"1311","81857"
"1312","8334"
"1313","4833"
"1314","81552"
"1315","51524"
"1316","23394"
"1317","145957"
"1318","149175"
"1319","9108"
"1320","284390"
"1321","790"
"1322","9139"
"1323","26118"
"1324","55973"
"1325","100874014"
"1326","7403"
"1327","6182"
"1328","5934"
"1329","7088"
"1330","10274"
"1331","10725"
"1332","22845"
"1333","5478"
"1334","8315"
"1335","64968"
"1336","51538"
"1337","153562"
"1338","4048"
"1339","3976"
"1340","81873"
"1341","120103"
"1342","80333"
"1343","59084"
"1344","101927824"
"1345","157753"
"1346","57597"
"1347","259282"
"1348","102723897"
"1349","84518"
"1350","4066"
"1351","144717"
"1352","23528"
"1353","7525"
"1354","283551"
"1355","50628"
"1356","147965"
"1357","10420"
"1358","8382"
"1359","100125288"
"1360","26524"
"1361","203111"
"1362","10395"
"1363","10174"
"1364","55112"
"1365","84134"
"1366","56915"
"1367","80207"
"1368","80021"
"1369","192111"
"1370","66004"
"1371","3726"
"1372","92922"
"1373","5709"
"1374","100507410"
"1375","23357"
"1376","80757"
"1377","3682"
"1378","221830"
"1379","4324"
"1380","9636"
"1381","10605"
"1382","64748"
"1383","1983"
"1384","55833"
"1385","6910"
"1386","64859"
"1387","5613"
"1388","129303"
"1389","9904"
