"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"503",29126,"ENSG00000120217","CD274"
"504",940,"ENSG00000178562","CD28"
"505",23607,"ENSG00000198087","CD2AP"
"506",9936,"ENSG00000241399","CD302"
"507",948,"ENSG00000135218","CD36"
"508",952,"ENSG00000004468","CD38"
"509",4179,"ENSG00000117335","CD46"
"510",1043,"ENSG00000169442","CD52"
"511",9308,"ENSG00000112149","CD83"
"512",8832,"ENSG00000066294","CD84"
"513",978,"ENSG00000158825","CDA"
"514",8556,"ENSG00000079335","CDC14A"
"515",993,"ENSG00000164045","CDC25A"
"516",246184,"ENSG00000176386","CDC26"
"517",55664,"ENSG00000106993","CDC37L1"
"518",8476,"ENSG00000143776","CDC42BPA"
"519",8317,"ENSG00000097046","CDC7"
"520",79577,"ENSG00000134371","CDC73"
"521",83879,"ENSG00000144354","CDCA7"
"522",55536,"ENSG00000164649","CDCA7L"
"523",728642,"ENSG00000008128","CDK11A"
"524",984,"ENSG00000248333","CDK11B"
"525",55755,"ENSG00000136861","CDK5RAP2"
"526",1022,"ENSG00000277273","CDK7"
"527",1025,"ENSG00000136807","CDK9"
"528",1026,"ENSG00000124762","CDKN1A"
"529",91368,"ENSG00000237190","CDKN2AIPNL"
"530",1036,"ENSG00000129596","CDO1"
"531",1052,"ENSG00000221869","CEBPD"
"532",100505876,"ENSG00000218739","CEBPZOS"
"533",1952,"ENSG00000143126","CELSR2"
"534",1058,"ENSG00000115163","CENPA"
"535",1060,"ENSG00000145241","CENPC"
"536",64105,"ENSG00000123219","CENPK"
"537",79172,"ENSG00000138092","CENPO"
"538",401541,"ENSG00000188312","CENPP"
"539",55166,"ENSG00000031691","CENPQ"
"540",378708,"ENSG00000175279","CENPS"
"541",79682,"ENSG00000151725","CENPU"
"542",9731,"ENSG00000116198","CEP104"
"543",153241,"ENSG00000168944","CEP120"
"544",9859,"ENSG00000276725","CEP170"
"545",645455,"ENSG00000276725","CEP170"
"546",84984,"ENSG00000174007","CEP19"
